Location,Type,Category,Description,Price,Date,Rooms,Surface
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98 m²
Hammamet,Vente,Duplex,Réf 74v une magnifique duplex,650 000,19/12/2024,N/A,200 m²
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1 500 000,19/12/2024,2,130 m²
Ezzahra,Location,Surfaces,Local 40m2 à ezzahra,1 600,19/12/2024,N/A,40 m²
Sidi Daoud,Location,Maisons,Triplex avec piscine à l,5 000,19/12/2024,N/A,N/A
Riadh Landlous,Location,App. 1 pièc,A 10 min de de l'aéropor,1 000,19/12/2024,0,51 m²
Marsa Ennassim,Location,Duplex,Duplex meublé avec terra,4 000,19/12/2024,N/A,N/A
Ezzahra,Location,App. 2 pièc,Studio meublé à ezza,500,19/12/2024,1,40 m²
Ezzahra,Location,App. 3 pièc,Maison s2 meublé à e,131,19/12/2024,2,150 m²
Gammart,Location,Duplex,Duplex avec jardin à gam,4 500,19/12/2024,N/A,N/A
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55 m²
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1 900,19/12/2024,1,60 m²
Cite Du Stade,Location,Duplex,Duplex avec terrasse à l,2 000,19/12/2024,N/A,N/A
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225 000,19/12/2024,1,58 m²
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225 000,19/12/2024,1,58 m²
El Aouina,Bureaux & Commer,Fond de Com,Fond de commerce laouina,35 000,19/12/2024,N/A,30 m²
Marsa Ennassim,Location,App. 2 pièc,Coquette appartement s1 meubl,1 400,19/12/2024,1,60 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98 m²
El Aouina,Location,App. 4 pièc,S plus 3 jardins el aoui,1 350,19/12/2024,3,130 m²
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1 200,19/12/2024,2,120 m²
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180 000,19/12/2024,1,100 m²
Ben Arous,Bureaux & Commer,Atelier,Aux sidi rzig dépôt au 1er ét,4 500,19/12/2024,N/A,750 m²
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1 100,19/12/2024,2,160 m²
