Location,Type,Category,Description,Price,Date,Rooms,Surface,PC1,PC2,PC3
Ain Zaghouan,Vente,App. 4 pièc,Appt s3 de 175m2 à ain zaghou,650000,19/12/2024,3,175,1.1447556472386773,0.9411106716204574,0.369651654903272
Marsa Ennassim,Location,App. 4 pièc,Appartement s3 avec jard,3700,19/12/2024,3,200,0.6433618445617753,-0.37904609792129496,0.575173227939273
El Aouina,Location,App. 2 pièc,Propriétaire l s2 meublé,1250,19/12/2024,1,104,-0.6533849609491343,-0.025777094454228194,-0.40459930992221016
Cite Ennasr 2,Location,App. 3 pièc,S2 meublé très haut stan,2000,19/12/2024,2,121,-0.06882854381125798,-0.16272694288866843,0.15209790002942958
Megrine Riadh,Location,App. 1 pièc,Belle occasion,360,19/12/2024,0,70,-1.2728347860746978,0.1331753022735876,-0.9247065911028888
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1000,19/12/2024,2,110,-0.09218410117809332,-0.15030149235527498,0.17613852495889704
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80,-0.7028192373980723,0.00488225201310913,-0.35286177087510745
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,73,-0.717095082179814,0.014156551181212314,-0.3378385096461404
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1000,19/12/2024,1,68,-0.7272371553392245,0.02090910378855042,-0.3271333954370756
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70,-0.7232316209811718,0.01808856642416844,-0.3313913735631839
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220000,19/12/2024,1,105,-0.46432677094245045,0.40864882240602046,-0.49449465873285475
Carthage,Location,Maisons,Villa  s3 avec jardin a,5000,19/12/2024,3,160,0.5626527168340866,-0.3240297077172008,0.6606135786324777
Gammart,Location,Maisons,Villa s3 avec piscine a,6500,19/12/2024,3,160,0.5639350894768722,-0.3210417996810323,0.6600118896945372
Gammart,Location,Duplex,Triplex s4 avec piscine,4500,19/12/2024,4,225,1.2443251109246982,-0.5263817234024126,1.1146580187050974
Carthage,Location,Maisons,Villa s5 avec piscine a,12000,19/12/2024,5,307,1.9676105456511936,-0.7350796492714773,1.5289596799719476
Gammart,Location,Maisons,Villa s4 avec jardin a g,5000,19/12/2024,4,225,1.2447525684722935,-0.5253857540570231,1.1144574557257838
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3000,19/12/2024,3,300,0.8473146973737323,-0.5115076297700442,0.36054948001176235
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3500,19/12/2024,2,121,-0.0675461711684724,-0.15973903485249996,0.15149621109148906
