Location,Type,Category,Description,Price,Date,Rooms,Surface
El Aouina,Vente,App. 4 pièc,Appartement s3 à cit,270 000,19/12/2024,3,98.0
Riadh Landlous,Vente,App. 1 pièc,S2 haut standing riadh l,330 000,19/12/2024,0,129.0
Cite Ennasr 2,Vente,App. 1 pièc,Appart s2 ennaser 2 ref3,310 000,19/12/2024,0,130.0
Hedi Chaker,Location,App. 2 pièc,A lafayette semi meublee stud,900,19/12/2024,1,75.0
Ezzahra,Vente,App. 3 pièc,Réf 90v coquette appartement,180 000,19/12/2024,2,90.0
El Menzah 8,Location,App. 4 pièc,Appartement s plus 3,1 300,19/12/2024,3,130.0
Riadh Landlous,Vente,App. 2 pièc,S1 appart riadh landalou,169 000,19/12/2024,1,59.0
Gammart,Vente,App. 3 pièc,Réf 58v appartement s2 en cou,375 000,19/12/2024,2,85.0
Hammamet,Location,App. 3 pièc,S plus 2 a el hammam,700,19/12/2024,2,80.0
Berge Du Lac,Location,Duplex,Suite à lac 1 duplex s3 meubl,2 300,19/12/2024,3,120.0
Cite Des Juges,Location,App. 2 pièc,Coquet studio s1 vide aux cit,570,19/12/2024,1,40.0
El Aouina,Vente,App. 3 pièc,Apprt s2 jamais habité à,263 610,19/12/2024,2,909.0
Berge Du Lac,Location,App. 2 pièc,Aux lac 2 une coquette appart,1 750,19/12/2024,1,60.0
El Yasmina,Location,App. 3 pièc,Lo1726 appartement s3 à carth,850,19/12/2024,2,80.0
Cite El Khalil,Location,App. 1 pièc,Petite studio s0 vide aux cit,650,19/12/2024,0,27.0
Residence Zahre,Location,App. 3 pièc,Occasion d or,600,19/12/2024,2,103.0
El Manar 1,Location,App. 1 pièc,Aux manar 1 studio open space,650,19/12/2024,0,35.0
Jardins de Cart,Location,App. 3 pièc,S2 meublé aux jardins de,2 800,19/12/2024,2,1.0
Hammamet,Location,App. 2 pièc,S plus 1 a el hammam,500,19/12/2024,1,50.0
Jardins de Cart,Location,App. 2 pièc,S1 aux jardins de cartha,1 400,19/12/2024,1,73.062
Bou Mhel,Location,App. 3 pièc,Local elegance à bou,900,19/12/2024,2,85.0
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé à ennas,1 100,19/12/2024,1,70.0
Cite Bhar Lazre,Vente,App. 3 pièc,Apprt s2 encours de,340 000,19/12/2024,2,98.0
Cite Ennasr 2,Location,App. 3 pièc,Appart s2 meublé à ennas,1 150,19/12/2024,2,90.0
Gammart,Location,Maisons,Villa s6 avec piscine a,7 500,19/12/2024,6,940.0
Gammart,Location,Duplex,Duplex s2 meublé  a gamm,3 000,19/12/2024,2,150.0
El Menzah 9,Location,App. 3 pièc,Appart s2 haut standing,1 550,19/12/2024,2,120.0
Hammamet,Location,App. 2 pièc,S plus 1 meublé a el,550,19/12/2024,1,60.0
Cite Du Stade,Location,App. 3 pièc,Apprt s2 la marsa stade,1 450,19/12/2024,2,90.0
Ain Zaghouan,Location,App. 2 pièc,S plus un bien ensoleill,800,19/12/2024,1,60.0
